1000,comment,Prequalified sentiment,Information,Opinion,Advice,Impression,Progress,Exercise,Body,Video,Length,Reviewer
1133,Wish I could do this today but all my body is aching because of a bad cold 😥😭,-0.9992844462,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.30,79,J
1134,"Thank you so much for today Adriene, it really was an amazing practice. Namaste 💛",0.9998356104,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.70,82,J
1135,Just finished this yoga set. Thank you for posting these videos they make me feel so much better mentally and physically.  <3,0.9963900447,0.60,0.40,0.00,0.60,0.90,0.00,0.00,0.60,125,J
1136,oh wow <3,0.9988881946,0.30,0.70,0.00,0.70,0.00,0.00,0.00,0.70,9,D
1137,Today I was aware how tired I am but I still made it to the mat and gave it my all. Namaste xo,0.9985328913,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.60,94,J
1138,25 on 2-5! wooohoo. Haha thanks Adriene!,0.9996676445,0.20,0.00,0.00,0.60,0.00,0.00,0.00,0.60,40,J
1139,"Hey Adriene, you mentioned inversion from dolphin, do yo have a practice for that? Thanks and love!",0.9996899366,0.30,0.00,0.50,0.00,0.00,0.00,0.00,0.50,99,J
1140,💚💜💙,-0.6970567107,0.00,0.50,0.00,0.70,0.00,0.00,0.00,0.70,6,D
1141,"Still here, still going <3 Two more practices left for me",-0.9958910942,0.40,0.00,0.00,0.60,0.90,0.00,0.00,0.70,57,J
1142,Did you and Benji plan this colour coordination? 😂,-0.9961659908,0.30,0.00,0.00,0.40,0.00,0.00,0.00,0.40,51,J
1143,"Yeh don't do the nostril thing if u have a nasal drip condition, you'll cough and get a headache.",-0.9985663295,0.30,0.60,0.00,0.00,0.00,0.30,0.30,0.00,97,J
1144,Thank you 😊,0.9998127818,0.20,0.70,0.00,0.70,0.00,0.00,0.20,0.50,12,D
1145,I needed stillness today and at first was thinking I couldn't handle your practice with my headache but then read this title! Thanks 😀,0.9840738773,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.40,135,J
1146,Thanks a lot for today's practice <3,0.9995921254,0.20,0.00,0.00,0.50,0.00,0.00,0.00,0.60,36,J
1147,You're outfit matched Benji!! Love <3,0.999134481,0.60,0.00,0.00,0.60,0.00,0.00,0.00,0.70,37,D
1148,"Hard work today, but I made it!",0.9995177984,0.40,0.00,0.00,0.50,0.00,0.00,0.00,0.30,31,J
1149,"Breakthrough today!!! I have NEVER been able to execute the plank or down dog to lunge in one move.I always end up getting 3/4 of the way there and then having to hoist it into the right position. Today, I realized I'm now strong/agile enough to tent up on my fingers to give me enough lift to finally go into a lunge on one move!",0.9992693067,0.50,0.50,0.00,0.70,0.60,0.70,0.70,0.60,330,J
1150,Day 27 done! ❤️❤️❤️,-0.5031183362,0.30,0.40,0.00,0.00,0.70,0.70,0.00,0.00,19,D
1151,Started at day 1 today .... fingers crossed 🤞 never done yoga before but giving this a real go ... lifting weights without stretching properly has made my range of motion terrible. Looking forward to day 2 tomorrow 👌🏽,-0.9977977276,0.40,0.00,0.00,0.30,0.20,0.00,0.30,0.40,220,J
1152,"""down and away"" - name of your next book.",-0.9709780812,0.30,0.40,0.00,0.00,0.00,0.00,0.00,0.00,41,J
1153,How on earth did you know I had a headache!? xx,-0.9987816215,0.50,0.00,0.00,0.40,0.00,0.00,0.00,0.00,47,J
1154,"""Knuckles draw down and away..."" I was waiting for, ""That's the title of my next book."" 😂 Or is that the title of your third book? I'm also looking forward to your book, ""Great stretch in the neck."" 😆 Thanks for your determination to teach us lovingly! I've been practicing with you for 2 years and 22 days today! Went through Revolution 5 times last year, and already planning to repeat TRUE as much as possible! Been wanting to mention how delightful the TRUE intro and outro are! 🎆 The way you fade while the music punches up a notch, added to namaste at the end, gives me shivers! I love you and think of you as a mentor and friend -- thank you for being you and helping us love being us! 🙏🤗🌻",0.999071002,0.80,0.00,0.00,0.60,0.00,0.00,0.00,0.70,702,A
1155,Your instructions are clear and easy to follow. You are simply the best. This is my very first time doing a yoga program. I do struggle but I'm sticking to it! You have helped me greatly.,0.9998512268,0.30,0.80,0.00,0.70,0.00,0.00,0.00,0.80,187,J
1156,"I have been enjoying this series!  Thanks for doing it!  It has given me something very positive to do while chasing away the winter blahs!  

Keep up the great work everyone!",0.9998753071,0.40,0.50,0.00,0.00,0.50,0.50,0.40,0.70,175,J
1157,"okay so I'm one of the people who didn't follow it every day for the thirty days, but im still here, been practising two or three times a week! this practise has been amazing for connecting to my body, calming me down and making me feel energised as well as fostering much more self-forgiveness. I'm sad this series is almost at the end for me, but looking forward to picking up on a new 30 days of yoga soon! thank you Adriene! :)",0.9978845716,0.60,0.70,0.00,0.80,0.40,0.70,0.90,0.70,431,D
1158,"Wow this one was amazing. Somehow, something clicked. I mostly listened rather than watched. I found a wave and went with my own flow. Thank you so so much Adrienne 🙏🏻✨",0.9998471737,0.30,0.60,0.00,0.40,0.50,0.50,0.00,0.70,170,J
1159,Thank you.🙏,0.9998420477,0.20,0.70,0.00,0.70,0.00,0.00,0.20,0.50,12,D
1160,"Ya, I just stayed at fierce frog.. mine did not want to balance today. Adriene, I'm gonna miss this practice when it's over. I never knew would have guessed how much it just washes away the stress from my day. However, as I type this, I hope I don't miss it and am wise enough to continue on with it for the rest of my life.",-0.6891128421,0.40,0.60,0.00,0.20,0.40,0.40,0.40,0.30,324,J
1161,"It has been awhile since I have practiced the crow, but I got up there for about 2 seconds today!",-0.9747399092,0.50,0.30,0.00,0.70,0.60,0.60,0.60,0.70,97,J
1162,Do you have a secret to tell us about sniffing toes? lmao,-0.9788146615,-0.30,0.20,0.50,0.40,0.00,0.20,0.00,0.00,57,J
1163,"I love this program! Sadly, the last day I was able to do was Friday because I hit my head Saturday and have a concussion ☹️ I will be joining back in as soon  as I am able!  Missing it so much!!!!!!",-0.9860823154,0.40,0.50,0.00,0.40,0.30,0.00,0.00,0.50,199,J
1164,Loved the practice today! Stretch muscles I didn't even know I had.,0.9869424105,0.40,0.60,0.00,0.50,0.50,0.00,0.00,0.60,67,J
1165,"OOOH YEAH! This one was good for me. That completely my day around! Adriene, we salute you! :)",0.9998211265,0.50,0.70,0.00,0.50,0.40,0.50,0.00,0.80,94,J
1166,you are my hero too,0.9998520613,0.80,0.60,0.00,0.70,0.30,0.00,0.00,0.70,19,D
1167,"Loved it! Also, can't believe I've come this far without missing a day :)",0.9998438358,0.50,0.60,0.00,0.80,0.70,0.00,0.00,0.60,73,P
1168,I really surprised myself with not getting frustrated with difficult poses today. I feel so proud. Love this journey!,0.9998854399,0.40,0.80,0.00,0.80,0.80,-0.40,0.60,0.60,117,D
1169,That rocked.,0.9997221828,0.60,0.80,0.00,0.60,0.30,0.60,0.00,0.80,12,D
1170,мне нравится упражнение собаки,-0.7127438784,,,,,,,,,30,
1171,"Good morning!  Trust is SO important but so hard to find sometimes.  I was just thinking about this the other day, since I've given too much to people who broke my trust.  How do I find that trust again in people? I guess it just takes time.",-0.9929567575,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,241,J
1172,idea for something soft and heavy: duvet / blankets :),-0.9892994165,0.20,0.00,0.70,0.00,0.00,0.00,0.00,0.00,54,J
1173,"Also, since I’ve started yoga my lumbar region, especially my hips have started to hurt. What am I doing wrong?",-0.9987697005,-0.30,0.00,-0.50,-0.60,-0.20,0.00,-0.80,0.00,111,J
1174,"Adriene, you are my angel!😇 Thank you for our yoga today!",0.9998384714,0.30,0.80,0.00,0.80,0.00,0.20,0.10,0.50,58,P
1175,I really enjoyed this practice this morning. I had a bit of an epiphany that I have actually been 'trusting the yoga' for years (even if my practice has been on and off) and it is something I will always come back to. Blog post about it here. Thanks again Adriene. Beautiful.  https://www.abigailyardimci.com/single-post/2018/01/03/30-Days-of-Yoga---Trust,0.9992691875,0.80,0.80,0.00,0.70,-0.40,0.00,0.50,0.60,355,D
1176,Amazing amazingly. I feel incredible. Can’t wait for day 3,0.9998829365,0.60,0.50,0.00,0.70,0.30,0.50,0.20,0.60,58,J
1177,TRUST yourself. Day 2 unlocked. 🙆,0.9931494594,0.30,0.40,0.00,0.00,0.70,0.70,0.00,0.00,34,D
1178,Oooh yes! Trust is a biggie for me! 💖😎🌴,0.9992482066,0.00,0.40,0.00,0.50,0.00,0.00,0.00,0.00,42,J
1179,"My first yoga exercise with my new t-shirt, Yoga Camp! Thank you  my daughters! Thank you Adriene. Namaste.",0.999104321,0.30,0.50,0.00,0.50,0.50,0.00,0.00,0.70,107,J
1180,"I wasn't doing too badly with the balancing until Adriene said ""I laugh in the face of danger hahaha"" because at that point I burst out laughing and fell over! :D",-0.7953268886,0.50,0.00,0.00,0.50,0.00,0.30,0.00,0.50,162,J
1181,"I fractured my skull on Sunday so I won't be able to finish my Yoga journey :( I'm so upset. Luckily I didn't sustain any brain damage so I'm thankful for that, but I feel so frustrated that I've been working so hard to make a positive change this month, only to be set back. Sorry I don't know why I'm posting this here :(",-0.9994753003,-0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,323,J
1182,Tears running down my face right now. Allow ... Release ... And let go ... 💚,-0.9656832218,0.30,0.40,0.00,0.20,0.30,0.40,0.40,0.40,77,J
1183,This must mean I've just completed 29 weeks of YWA!💙🌿,-0.9991605282,0.40,0.00,0.00,0.40,0.00,0.40,0.00,0.70,55,J
1184,"My self-talk today was absolutely disgusting. I haven't talked to myself like that since my teens, I told my body that I hated it when I couldn't balance for shit. Such a terrible feeling and I don't understand why it would show itself now, 29 days into feeling like my body is my friend? A great practice Adriene, but I couldn't enjoy it. Maybe I'll try again tomorrow and see if I can make friends with myself again. Maybe it's a good thing that things bubble up to the surface, hopefully. I am hopeful that these terrible things I tell myself will one day go away, the day I realise I am worthy of my own love. Namaste x",0.9406715631,0.50,-0.40,0.00,-0.70,0.90,0.00,0.00,-0.60,623,A
1185,"Wow I actually can’t believe how far I’ve come since day 1.... so many things got easier, I feel amazing, my anxiety is way down. Yoga is like the perfect drug.",0.9961022139,0.50,0.70,0.00,0.40,0.00,0.00,0.00,0.70,160,J
1186,"Wow, this practice left me shedding tears of joy 😊 been on board of the 30 days of Yoga for the third time now and still, there are new things to experience about myself. A big hug to all of you ❤ Namaste",0.9996073842,0.30,0.40,0.00,0.50,0.00,0.00,0.00,0.30,205,J
1187,"Wonderful practice! I have a bad cold today and found some poses to be really uncomfortable. I made adjustments for myself and carried on instead of forcing myself into poses or giving up, which is what I would have done in the past. Such a difference yoga. can make 💕",0.9811011553,0.40,0.60,0.00,0.50,0.00,0.00,0.00,0.90,269,J
1188,"Really sad it's almost over, but have had a lovely time! Thanks for the many enjoyable mornings.",0.999822557,0.30,0.50,0.00,0.40,0.50,0.50,0.00,0.50,96,J
1189,"Wonderful, wonderful, wonderful! Thank you so very much! <3",0.9998823404,0.30,0.80,0.00,0.80,0.00,0.00,0.20,0.50,59,P
1190,"I am a huge fan, but this practice was not for me. Usually my familiarity with you instructions allows me to enjoy the practice with minimal time spent watching the screen, but with no mic... I am lost and spend more time watching the video than experiences the practice. I am just not ready to be myself and free-style. Thank you again for True. I will be continuing with your February calendar.",-0.740070641,-0.40,-0.40,0.00,-0.20,0.00,-0.30,-0.20,-0.20,396,J
1191,I lost my bet:  30 days of TRUE and not once did Adriene mention Spandau Ballet.  I was singing it each day.,-0.9938697815,0.20,0.50,0.00,0.20,0.40,0.00,0.00,0.50,108,J
1192,"May I have a question,can I do yoga during Menstruation?",-0.9963988066,0.00,-0.20,0.70,-0.50,0.00,0.00,-0.40,0.00,56,D
1193,"I guess I didn't ""get"" the idea of this video, as I'm reading the comments I see people were doing their own moves whereas I thought I was still meant to be following the video and got pretty frustrated at the lack of guidance :( however I am in a place right now  where I just want to be guided and have my hand held by these videos, having suffered a bereavement mid way through the month - nonetheless this series really had given me some spaces to be resilient and let it all go and I am sure I will return to this video later with a much better mindset - wanting to freestyle jam alongside a friend!",-0.9914349914,0.50,-0.40,0.00,-0.60,0.00,0.00,0.00,-0.50,604,A
1194,what is that gorgeous lipstick Adriene?,0.9821720719,0.20,0.30,0.00,0.00,0.00,0.00,0.00,0.00,39,J
1195,Congratulations everyone!!! And thank you so much to Adriene for this journey :) <3,0.9998138547,0.00,0.30,0.00,0.50,0.70,0.70,0.00,0.70,83,J
1196,"Adriene, I just did your 30 days of yoga in July because I needed a reset in the middle of the year. This has been so amazing and emotional. The perfect practice to be more mindful. Thank you and blessings to you for bringing us all on this journey with you. I can't  wait to keep up with it with your playlists for each month! Amazing!!✨",0.9998478889,0.40,0.60,0.00,0.70,0.00,0.30,0.00,0.50,338,M
1197,"I did it! I can't believe I made it through all 30 days! I have never done any form of exercise 30 days in a row. Oh, I may have missed a few minutes here and there having to rest, but I love the way you make us feel no pressure if we find a pose difficult and need to take it easy on ourselves. I finally found something I want to do! I have had asthma since I was 19,  and I'm now 57, and I haven't had to use my rescue inhaler nearly as often since starting your practices. Thank you from the bottom of my heart sweet Adriene! Peace and love to you dear friend. Namaste!",0.9996116757,0.70,0.50,0.00,0.90,0.90,0.40,-0.50,0.70,573,M
1198,So profoundly grateful for this journey! I cried and laughed and cried again all the way through this one. Much love to you!,0.9998713732,0.30,0.50,0.00,0.60,0.30,0.00,0.00,0.20,124,M
1199,Thank you so much ❤️❤️❤️,0.9998430014,0.20,0.70,0.00,0.70,0.00,0.00,0.20,0.50,24,D
1200,Tight in the upper back but feeling better already 🙏 ✨🎈,-0.7969251871,0.50,0.60,0.00,0.50,0.00,0.00,0.00,0.50,57,J
1201,Benjo has been acting suspiciously like a cat... hm...... :),-0.9977037311,0.20,0.50,0.00,0.60,0.00,0.00,0.00,0.40,60,J
1202,"adriene: leaves part of the mat empty for 0.03 seconds
benji: *it's free real estate*",-0.9984502792,0.20,0.00,0.00,0.50,0.00,0.00,0.00,0.30,85,M
1203,"I've done 30 days of yoga, revolution and yoga camp in the last three months.. I started true a few days ago but my wifi was cutting out and the video was buffering so bad I stopped and decided maybe I'd done enough yoga.. but one day off and today I just NEEDED it! You've got me hooked Adriene lol! So so soooo grateful to you! Thank you for everything you do for us!! <3",-0.9920841455,0.50,0.60,0.00,0.70,0.40,0.30,0.00,0.50,373,M
1204,"I did this practice at midnight in Maui, and it was lovely!",0.9998563528,0.60,0.70,0.00,0.40,0.00,0.00,0.00,0.80,59,J
1205,"Once again Adriene I must compliment your teaching style, you are truly meant to help and teach people. You are always one step ahead of us with your little reminders for all body positions, so great 😃 Every time I come to the mat and hear your voice I am happy that I did. ❤️ to you and your Benji who constantly steals the limelight and to your Momma I hope she is doing better. Thank you again Namaste 🙏🏻",0.9998018146,0.60,0.60,0.00,0.80,0.30,0.20,0.00,0.60,410,M
1206,Just what I needed after the first two practices. I am so grateful to be a part of TRUE yoga <3,0.9996870756,0.40,0.30,0.00,0.40,0.30,0.00,0.00,0.50,95,J
1207,Ahhhh! Day 3!!! I feel good! Rock n' Roll!,0.9998873472,0.30,0.40,0.00,0.00,0.70,0.70,0.80,0.00,42,D
1208,Wow amazing practice. I feel so relaxed and my body feels so loose afterwards. Thank you Adrienne!!!,0.9991207719,0.40,0.50,0.00,0.70,0.40,0.40,0.70,0.70,100,J
1209,"Love it, glad were taking it a bit slow, I'm trying to learn more patience , and add more ease into 2018. Doing yoga from Nor cal, Susanville, my kitty , Willow joined me.",0.9989135265,0.60,0.40,0.00,0.50,0.00,0.00,0.00,0.60,171,J
1210,Yoga is like nice fruity wine. Feels like nothing till it hits you with a stack of bricks the next morning. #ywatrue,-0.682014823,0.20,0.50,0.40,0.40,0.00,0.00,0.00,0.00,116,J
1211,Can't believe it's been 33 minutes. Feels like a moment,-0.9521131516,0.40,0.70,0.00,0.50,0.30,0.30,0.00,0.40,55,J
1212,"Ahhhh!  I'm gonna be honest here...  I am going to have to practice enjoying floor practices.  I have a hard time slowing down and connecting to myself here.   I noticed half way through that I had been scrunching my eyebrows through most of the poses.  Hahah!  I had to keep reminding  myself   ""relax your eyes.  relax your mouth.  relax your tongue.  RELAX YOUR FACE.""",-0.9179039001,-0.40,0.40,0.00,0.70,0.20,-0.40,0.00,0.00,371,M
1213,"So I really enjoyed this practice, BUT , doing it with my husband, I realized a lot of men have no idea how to ""connect with your pelvic floor."" You may want to add some language to that effect in the future. @yogawithadriene",-0.9709464908,-0.60,0.60,-0.80,0.70,0.00,-0.30,0.00,0.00,225,M
1214,These sessions are better every day. Even pushed myself through the boat pose. I knew I could do it!! Until tomorrow...thank you!!,0.9951239228,0.40,0.20,0.00,0.60,0.40,0.50,0.00,0.50,130,M
1215,The yoga tune makes me dance at the ending of each video! Good vibes! Thank you!,0.9998733997,0.40,0.60,0.00,0.60,0.50,0.50,0.00,0.80,80,J
1216,This is the best way to end my day! 🍃,0.9994685054,0.40,0.60,0.00,0.70,0.00,0.00,0.00,0.40,38,J
1217,Love ❤️,0.9997313619,0.60,0.70,0.00,0.50,0.00,0.00,0.00,0.70,7,D
1218,Day 3 and 4 made for a lovely hour of yoga after a long day of work. Perfect Friday evening!!,0.9996368885,0.40,0.40,0.00,0.50,0.70,0.50,0.00,0.50,93,J
1219,What a great affirmation Today I will love myself❤️,0.9998179078,0.40,0.60,0.00,0.30,0.00,0.00,0.00,0.50,51,J
1220,Day 5 completed! I skipped 2 days because my body was so sored! Its working!,-0.8675584793,0.50,0.00,0.00,0.50,0.50,0.00,0.00,0.50,76,J
1221,Day 5 done! Missing my workout buddies!  Amanda you got this! Hope you read this comment when you get to day five!!,-0.9673429132,0.40,0.20,0.00,0.30,0.50,0.50,0.00,0.50,115,J
1222,"couldnt finish, so upset",-0.9942243695,-0.60,0.00,0.00,-0.70,0.00,0.00,0.00,-0.50,24,J
1223,day five ✅ namaste!! 💙,-0.9284951091,0.30,0.00,0.00,0.40,0.30,0.00,0.00,0.20,23,J
1224,The fire breathing is so revitalizing!!! 10 minutes in and I felt so in tune with my breath <3,0.9995371103,0.30,0.50,0.00,0.50,0.00,0.00,0.00,0.40,94,J
1225,I feel so much better after this practice! It has literally got me in a higher spirit :),0.999155283,0.20,0.50,0.00,0.70,0.00,0.00,0.50,0.80,88,J
1226,Mojo Rising Yoga. Thanks A,0.9995667338,0.20,0.00,0.00,0.30,0.00,0.00,0.00,0.40,26,J
1227,"Good morning from Switzerland!
And thank you so much, Adriene❤",0.9998393059,0.30,0.00,0.00,0.30,0.00,0.00,0.00,0.60,62,J
1228,"ohh, feels sooo good! <3",0.9998494387,0.00,0.40,0.00,0.80,0.00,0.00,0.00,0.60,24,J
1229,"I needed this so  much!! Great practice, thank you!",0.9998167157,0.50,0.70,0.00,0.60,0.40,0.00,0.00,0.60,51,J
1230,🙏,-0.6970567107,0.00,0.50,0.00,0.70,0.00,0.00,0.00,0.70,2,D
1231,"you warned us that we were gonna dive right in, but I didn't believe it until we started on all fours 😂",-0.9858475327,0.30,0.40,0.00,0.40,0.00,-0.20,-0.20,0.20,104,J
1232,"That was tough! I couldn’t keep up 🙁, does anyone have any tips on when hands and feet get a bit too slidey and slippery on the mat?",-0.9993896484,-0.80,-0.30,0.60,0.00,-0.30,-0.20,-0.70,-0.40,133,D
1233,"gurl, that was some relieving yoga !",-0.9263936281,0.00,0.70,0.00,0.70,0.00,0.00,0.00,0.40,36,J
1234,"O boy... five days of lovely easy peasy and then: WHAM haha. Core is not my strong point. But I made it through intact! Thank you Adriene, I'm totally digging this series!",0.9995839,-0.30,0.40,0.00,0.70,0.30,-0.20,-0.70,0.20,171,M
1235,"Awsome, thank you",0.9993082285,0.20,0.70,0.00,0.70,0.00,0.00,0.20,0.50,17,D
1236,"I love you Adriene! I can't remember when I first signed up for youtube or even when I first started using it, its been a long time, yet I never subscribed to anything. I can now say I am an offical youtube subscriber to Yoga With Adriene. You are awesome and I really enjoy your humor as well as the energy you put forth into your practice. Thank you Adriene for these great videos.",0.999833107,0.60,0.20,0.00,0.80,0.00,0.00,0.00,0.60,383,M
1237,Just finished day 6,0.7854987383,0.30,0.40,0.00,0.00,0.70,0.70,0.00,0.00,19,D
1238,Very intense today! I sure love my belly more after today!,0.9998662472,0.40,0.60,0.00,0.50,0.40,0.70,0.50,0.70,58,J
1239,My belly caught such a nice warm feeling. Love it! Namasté ♥️,0.9998511076,0.30,0.60,0.00,0.50,0.00,0.00,0.00,0.50,61,J
1240,💛💛💛💛💛💛💛💛💛💛,-0.6970567107,0.00,0.50,0.00,0.70,0.00,0.00,0.00,0.70,20,D
1241,I was able to get through the practice alathough i wobbled trying to balance! LOL!,-0.9921495914,0.40,0.00,0.00,0.50,0.40,0.40,0.00,0.20,82,J
1242,"Just figured out that the videos are published to hours too late for me to be able to practice before classes, so I have to push the schedule :(",-0.9996378422,-0.60,0.20,0.00,0.60,0.00,0.00,0.00,0.00,144,M
1243,Guys we broke a record. One minute and thirty seconds it took for Marty's purring to distract me Haha. Back to it,-0.9774444103,0.20,0.00,0.00,0.50,0.20,0.00,0.00,0.30,113,M
1244,Awesome practice! Cheers to my mental health,0.9998604059,0.50,0.50,0.00,0.70,0.00,0.00,0.00,0.60,44,M
1245,Cheers to Yoga... changing heart body and mind... one practice at a time.,0.9997848868,0.50,0.50,0.00,0.70,0.20,0.00,0.60,0.50,73,M
1246,"Today's practice was a energising and for the first time I found being in the downward dog pose relaxing. Thank you Adriene, everyone have a good day💗",0.9992063642,0.60,0.20,0.00,0.70,0.50,0.30,0.30,0.50,151,M
1247,"I’m loving it , I was so tight today but that when I know I need to do my yoga with you all , the WAVE !! wow plus breathing it’s getting better daily I had to lye for a while just to be still & practice some breathing looking forward to day 8 tommora hope to catch up but listening to my body .Ive done yoga before which I loved but yours has that something special #You mighty blessing to you & benji from the uk",0.9994945526,0.60,0.40,0.00,0.70,0.50,0.40,0.30,0.70,414,M
1248,"there is a line in ""dock of the bay"" that goes ""I can't do what ten people tell me to do. So I guess I'll remain the same"". that replayed in my head and allowed me to think about how I cling to much to peoples opinions and today's practice helped me ""catch a wave...and watch the tide roll away"" Thanks Adriene!",0.9942312241,0.30,0.30,0.00,0.60,0.20,0.20,0.00,0.50,311,M
1249,Nice way to start day 20 of March. Thank you for this practice.  I feel more refreshed and focused for the starting of today. :),0.9997563958,0.30,0.30,0.00,0.70,0.00,0.30,0.00,0.50,128,M
1250,⠧,-0.6970567107,0.00,0.50,0.00,0.70,0.00,0.00,0.00,0.70,1,D
1251,"I normally Yoga in the morning, but lately I have been having some yoga time before bed. Today I didn’t have time to work in a yoga practice in the morning. I almost let it go today, thinking I will play catch up tomorrow.  When I saw that this was going to be a yummy  practice it became apparent to me that I needed to finish my day with yoga day 8. Namaste everyone and good night.",-0.9754744172,0.60,0.40,0.00,0.70,0.20,0.40,0.00,0.30,384,M
1252,Adriene my partner is doing these with me and he's struggling to sit cross legged - is there any advice or alternative that might work?,-0.9986950755,0.60,0.00,-0.80,0.60,0.00,-0.50,0.00,0.00,135,M
1253,"i missed a day due to the fact that i was on a roadtrip, driving from 7am to 9pm so i just came home and fell asleep. no guilt in missing one day, i know i’m taking care of my body even though i’m a day behind. thank you for todays practice✨🙌🏼💫🌟💖",-0.9966180921,0.50,0.20,0.00,0.70,0.00,0.00,0.20,0.50,251,M
1254,"We are doing this everyday so far, and have appreciated every one, and look forward to the rest. Thank you.",0.9998736382,0.20,0.40,0.00,0.40,0.50,0.00,0.00,0.60,107,J
1255,Now this is exactly what I needed today! Much love xx,0.9997683167,0.30,0.60,0.30,0.40,0.60,0.50,0.00,0.70,53,J
1256,"I loooooove yummy practices and I really needed this, I love you, thank you so much Adriene!",0.9994735122,0.30,0.40,0.00,0.50,0.00,0.00,0.00,0.50,92,J
1257,Great stretch on my legs!,0.6883994341,0.60,0.00,0.00,0.70,0.00,0.50,0.50,0.00,25,J
1258,Loved the pics of Benji in the email! And I loved this practice!,0.9998539686,0.40,0.60,0.00,0.20,0.00,0.00,0.00,0.70,64,J
1259,"Today I was a little delayed and I just finished day 8. Good thing I left it for before bedtime, I'll be returning to this one in the future. Ready to tackle Day 9 in the morning! Thanks for everything Adriene.",0.981280148,0.40,0.20,0.00,0.60,0.60,0.00,0.00,0.30,210,M
1260,❤❤❤❤❤❤,-0.6970567107,0.00,0.50,0.00,0.70,0.00,0.00,0.00,0.70,6,D
1261,How do you look up/watch daily videos?,-0.9684219956,0.00,0.00,0.70,0.40,0.00,0.00,0.00,0.00,38,M
1262,Anyone here because of the November UK lockdown?,-0.9968227148,-0.40,0.00,0.60,0.30,0.00,0.00,0.00,0.00,48,M
1263,Yay!! I was hoping you'd do another 👌,-0.9840655923,0.20,0.00,0.00,0.30,0.00,0.00,0.00,0.50,38,M
1264,"Thank you for all you have been doing, Adriene! <3",0.9998099208,0.20,0.50,0.00,0.70,0.00,0.00,0.00,0.50,50,M
1265,"Oh yes! My body is ready!
I did the whole True 30 days of yoga and it was a fantastic journey from start to finish, it was a wonderful and memorable way to welcoming the beginning of 2018 I'm so glad that you'll do another yoga challenge in 2019. Thanks for your positivity and dedication in each of your videos.
Happy 2019 to you Adrienne and the community of worldwide yogis. See you at Dedicate!",0.9998779297,0.40,0.40,0.00,0.80,0.50,0.00,0.00,0.60,398,M
1266,So happy we have this program again this year! I love to do my favourite days again throughout the year 💕,0.9998327494,0.30,0.70,0.00,0.70,0.20,0.00,0.00,0.40,106,M
1267,"So excited for this! I hope this will be what I need to get back into doing yoga... I miss it and haven't been able to have it stick for almost a year now! Thank you for this, Adriene!!",0.9987834096,0.50,0.30,0.00,0.70,0.00,0.00,0.00,0.30,185,M
1268,Yes yes yes yes yes 🙏🏻,0.9963256717,0.00,0.70,0.00,0.30,0.00,0.00,0.00,0.30,24,M
1269,"Hi Adriene, It's Christmas Eve and I was thinking about starting Yoga again and your video popped up ... Such a blessing to find you.  Looking forward to 2019 and practicing Yoga with you.  Your inner radiance shines through.  Have a Merry Christmas and a Happy New Year.  Sending hugs ...Sherry",0.9998412132,0.50,0.20,0.00,0.70,0.00,0.00,0.00,0.50,295,M
1270,❤❤❤,-0.6970567107,0.00,0.50,0.00,0.70,0.00,0.00,0.00,0.70,3,D
1271,what time do you post the videos?,-0.9970842004,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,33,M
1272,Can I do this while pregnant?,-0.9959034324,0.50,0.00,0.90,0.40,0.00,0.00,0.00,0.20,29,M
1273,How long will each video be please :),-0.9927735925,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,37,M
1274,Starting in November 25th 2020. Thank you so much Adrienne and Chris ❤️,0.9997243285,0.30,0.50,0.00,0.20,0.50,0.00,0.00,0.70,71,J
1275,"I just finished HOME today and I'm already looking for another program to start! I'm so grateful that my friend recommended it during this time (I started in the middle of march but icorporated weight training after 2 weeks and did the end of the program when I had rest days). I tried yoga from time to time before, but it just didn't feel right until I found you. Thank you for sharing so many practices with the world, it's a true pleasure to practice with you!",0.9987409711,0.50,0.60,0.00,0.60,0.80,0.00,0.70,0.00,464,D
1276,Hi Adriane. I’ve been enjoying doing yoga again since I discovered you. Your teaching dinamics does work for me. I’ve just followed day 0 from the 30 days series. This is amazing. Thank you so much for your dedication. I love the dog. Be well.,0.9998725653,0.50,0.70,0.00,0.20,0.80,0.30,0.00,0.80,243,J
1277,So happy to finally be able to start ! Had a flood in my apartment and had to move so no internet for last month and a half so did True again but was looking forward to doing Dedicate so I have purchased the downloads and will start up tomorrow (finishing my move today). Thank you for making them available ! Namaste,0.9989883304,0.50,0.20,0.00,0.00,0.20,0.00,0.00,0.50,317,J
1278,Happy new year 😍😍😍🙏❤😊😊,0.9998708963,0.30,0.00,0.00,0.40,0.00,0.00,0.00,0.00,28,J
1279,"What would you recommend if I already have other sports on that day or have to work 14 hours a Day (2 times this month). 
Just do the yoga the next day and have an 3x instead of 31 Day Yoga Journey? 
So looking forward to this :)",0.9281349182,0.40,0.00,0.70,0.00,0.00,0.00,0.30,0.00,229,D
